iter	Passed	Remaining
699	1393	597
700	1395	595
701	1397	593
702	1399	591
703	1401	589
704	1403	587
705	1405	585
706	1406	583
707	1408	581
708	1410	578
709	1412	576
710	1414	574
711	1416	572
712	1418	570
713	1420	568
714	1422	566
715	1423	564
716	1425	562
717	1427	560
718	1429	558
719	1431	556
720	1433	554
721	1434	552
722	1436	550
723	1439	548
724	1441	546
725	1443	544
726	1445	542
727	1447	540
728	1448	538
729	1451	536
730	1453	534
731	1455	532
732	1457	530
733	1459	528
734	1460	526
735	1462	524
736	1464	522
737	1466	520
738	1468	518
739	1470	516
740	1472	514
741	1474	512
742	1476	510
743	1478	508
744	1480	506
745	1482	504
746	1484	502
747	1486	500
748	1488	498
749	1490	496
750	1492	494
751	1494	493
752	1496	490
753	1498	488
754	1500	486
755	1502	484
756	1504	482
757	1506	481
758	1508	479
759	1510	476
760	1512	474
761	1514	472
762	1516	470
763	1518	468
764	1519	466
765	1521	464
766	1523	462
767	1525	460
768	1527	458
769	1529	456
770	1531	454
771	1533	452
772	1535	450
773	1538	449
774	1540	447
775	1542	445
776	1544	443
777	1545	441
778	1547	439
779	1549	437
780	1551	435
781	1553	433
782	1555	431
783	1557	429
784	1558	426
785	1560	424
786	1562	422
787	1564	421
788	1566	419
789	1568	417
790	1570	415
791	1572	412
792	1574	410
793	1576	408
794	1578	406
795	1580	405
796	1582	403
797	1584	401
798	1586	399
799	1588	397
800	1590	395
801	1592	393
802	1594	391
803	1596	389
804	1599	387
805	1601	385
806	1603	383
807	1606	381
808	1609	380
809	1612	378
810	1614	376
811	1617	374
812	1619	372
813	1621	370
814	1623	368
815	1625	366
816	1626	364
817	1628	362
818	1630	360
819	1632	358
820	1633	356
821	1635	354
822	1637	352
823	1639	350
824	1640	348
825	1642	346
826	1644	343
827	1646	341
828	1648	340
829	1650	337
830	1651	335
831	1653	333
832	1655	331
833	1656	329
834	1658	327
835	1660	325
836	1662	323
837	1664	321
838	1666	319
839	1667	317
840	1669	315
841	1671	313
842	1673	311
843	1676	309
844	1678	307
845	1681	306
846	1683	304
847	1685	302
848	1687	300
849	1690	298
850	1693	296
851	1695	294
852	1697	292
853	1699	290
854	1701	288
855	1703	286
856	1704	284
857	1706	282
858	1708	280
859	1710	278
860	1712	276
861	1714	274
862	1716	272
863	1718	270
864	1719	268
865	1721	266
866	1723	264
867	1725	262
868	1727	260
869	1729	258
870	1730	256
871	1732	254
872	1734	252
873	1736	250
874	1738	248
875	1740	246
876	1742	244
877	1745	242
878	1747	240
879	1749	238
880	1751	236
881	1752	234
882	1754	232
883	1756	230
884	1758	228
885	1759	226
886	1761	224
887	1763	222
888	1764	220
889	1766	218
890	1768	216
891	1770	214
892	1772	212
893	1774	210
894	1776	208
895	1778	206
896	1779	204
897	1781	202
898	1783	200
899	1785	198
900	1786	196
901	1788	194
902	1790	192
903	1792	190
904	1794	188
905	1795	186
906	1797	184
907	1799	182
908	1801	180
909	1803	178
910	1805	176
911	1807	174
912	1808	172
913	1810	170
914	1812	168
915	1814	166
916	1815	164
917	1817	162
918	1819	160
919	1821	158
920	1823	156
921	1824	154
922	1826	152
923	1828	150
924	1830	148
925	1832	146
926	1834	144
927	1836	142
928	1838	140
929	1839	138
930	1841	136
931	1843	134
932	1845	132
933	1846	130
934	1848	128
935	1850	126
936	1852	124
937	1854	122
938	1856	120
939	1858	118
940	1860	116
941	1862	114
942	1864	112
943	1866	110
944	1867	108
945	1869	106
946	1871	104
947	1873	102
948	1875	100
949	1876	98
950	1878	96
951	1880	94
952	1882	92
953	1884	90
954	1886	88
955	1888	86
956	1889	84
957	1891	82
958	1893	80
959	1895	78
960	1897	76
961	1898	75
962	1900	73
963	1902	71
964	1904	69
965	1905	67
966	1907	65
967	1909	63
968	1911	61
969	1913	59
970	1915	57
971	1917	55
972	1919	53
973	1921	51
974	1923	49
975	1924	47
976	1926	45
977	1928	43
978	1930	41
979	1931	39
980	1933	37
981	1935	35
982	1937	33
983	1939	31
984	1941	29
985	1943	27
986	1945	25
987	1947	23
988	1949	21
989	1951	19
990	1952	17
991	1954	15
992	1956	13
993	1958	11
994	1959	9
995	1961	7
996	1963	5
997	1965	3
998	1966	1
999	1968	0
